episode,steps,score,total_reward,avg_reward_last5,epsilon
1,928,-20.0,-20.0,-20.0,0.995
2,1133,-19.0,-19.0,-19.5,0.990025
3,764,-21.0,-21.0,-20.0,0.985074875
4,1078,-18.0,-18.0,-19.5,0.9801495006250001
5,1022,-19.0,-19.0,-19.4,0.9752487531218751
6,1024,-20.0,-20.0,-19.4,0.9703725093562657
7,840,-21.0,-21.0,-19.8,0.9655206468094844
8,890,-20.0,-20.0,-19.6,0.960693043575437
9,935,-21.0,-21.0,-20.2,0.9558895783575597
10,764,-21.0,-21.0,-20.6,0.9511101304657719
11,885,-20.0,-20.0,-20.6,0.946354579813443
12,932,-21.0,-21.0,-20.6,0.9416228069143757
13,813,-21.0,-21.0,-20.8,0.9369146928798039
14,1219,-19.0,-19.0,-20.4,0.9322301194154049
15,1123,-19.0,-19.0,-20.0,0.9275689688183278
16,1200,-17.0,-17.0,-19.4,0.9229311239742362
17,843,-20.0,-20.0,-19.2,0.918316468354365
18,824,-21.0,-21.0,-19.2,0.9137248860125932
19,1100,-19.0,-19.0,-19.2,0.9091562615825302
20,764,-21.0,-21.0,-19.6,0.9046104802746175
21,975,-21.0,-21.0,-20.4,0.9000874278732445
22,944,-19.0,-19.0,-20.2,0.8955869907338783
23,931,-20.0,-20.0,-20.0,0.8911090557802088
24,948,-20.0,-20.0,-20.2,0.8866535105013078
25,1142,-19.0,-19.0,-19.8,0.8822202429488013
26,1012,-20.0,-20.0,-19.6,0.8778091417340573
27,842,-21.0,-21.0,-20.0,0.8734200960253871
28,873,-21.0,-21.0,-20.2,0.8690529955452602
29,792,-21.0,-21.0,-20.4,0.8647077305675338
30,764,-21.0,-21.0,-20.8,0.8603841919146962
31,972,-21.0,-21.0,-21.0,0.8560822709551227
32,843,-21.0,-21.0,-21.0,0.851801859600347
33,944,-21.0,-21.0,-21.0,0.8475428503023453
34,975,-21.0,-21.0,-21.0,0.8433051360508336
35,1005,-20.0,-20.0,-20.8,0.8390886103705794
36,974,-21.0,-21.0,-20.8,0.8348931673187264
37,912,-21.0,-21.0,-20.8,0.8307187014821328
38,826,-21.0,-21.0,-20.8,0.8265651079747222
39,843,-21.0,-21.0,-20.8,0.8224322824348486
40,954,-20.0,-20.0,-20.8,0.8183201210226743
41,974,-21.0,-21.0,-20.8,0.8142285204175609
42,944,-20.0,-20.0,-20.6,0.810157377815473
43,947,-20.0,-20.0,-20.4,0.8061065909263957
44,853,-21.0,-21.0,-20.4,0.8020760579717637
45,870,-20.0,-20.0,-20.4,0.798065677681905
46,949,-20.0,-20.0,-20.2,0.7940753492934954
47,1239,-19.0,-19.0,-20.0,0.7901049725470279
48,912,-21.0,-21.0,-20.2,0.7861544476842928
49,948,-21.0,-21.0,-20.2,0.7822236754458713
50,885,-21.0,-21.0,-20.4,0.778312557068642
51,884,-21.0,-21.0,-20.6,0.7744209942832988
52,934,-20.0,-20.0,-20.8,0.7705488893118823
53,1191,-20.0,-20.0,-20.6,0.7666961448653229
54,903,-21.0,-21.0,-20.6,0.7628626641409962
55,1108,-19.0,-19.0,-20.2,0.7590483508202912
56,882,-21.0,-21.0,-20.2,0.7552531090661897
57,979,-20.0,-20.0,-20.2,0.7514768435208588
58,825,-21.0,-21.0,-20.4,0.7477194593032545
59,764,-21.0,-21.0,-20.4,0.7439808620067382
60,1103,-20.0,-20.0,-20.6,0.7402609576967045
61,824,-21.0,-21.0,-20.6,0.736559652908221
62,972,-21.0,-21.0,-20.8,0.7328768546436799
63,902,-20.0,-20.0,-20.6,0.7292124703704616
64,852,-21.0,-21.0,-20.6,0.7255664080186093
65,1043,-19.0,-19.0,-20.4,0.7219385759785162
66,824,-21.0,-21.0,-20.4,0.7183288830986236
67,921,-21.0,-21.0,-20.4,0.7147372386831305
68,905,-20.0,-20.0,-20.4,0.7111635524897149
69,976,-21.0,-21.0,-20.4,0.7076077347272662
70,1037,-20.0,-20.0,-20.6,0.7040696960536299
