episode,steps,score,total_reward,avg_reward_last5,epsilon
1,962,-20.0,-20.0,-20.0,0.995
2,1030,-19.0,-19.0,-19.5,0.990025
3,1030,-19.0,-19.0,-19.333333333333332,0.985074875
4,951,-20.0,-20.0,-19.5,0.9801495006250001
5,824,-21.0,-21.0,-19.8,0.9752487531218751
6,887,-20.0,-20.0,-19.8,0.9703725093562657
7,881,-21.0,-21.0,-20.2,0.9655206468094844
8,1068,-19.0,-19.0,-20.2,0.960693043575437
9,854,-21.0,-21.0,-20.4,0.9558895783575597
10,914,-21.0,-21.0,-20.4,0.9511101304657719
11,941,-20.0,-20.0,-20.4,0.946354579813443
12,1103,-19.0,-19.0,-20.0,0.9416228069143757
13,1094,-20.0,-20.0,-20.2,0.9369146928798039
14,1063,-18.0,-18.0,-19.6,0.9322301194154049
15,1087,-19.0,-19.0,-19.2,0.9275689688183278
16,764,-21.0,-21.0,-19.4,0.9229311239742362
17,764,-21.0,-21.0,-19.8,0.918316468354365
18,792,-21.0,-21.0,-20.0,0.9137248860125932
19,811,-21.0,-21.0,-20.6,0.9091562615825302
20,1112,-20.0,-20.0,-20.8,0.9046104802746175
21,869,-21.0,-21.0,-20.8,0.9000874278732445
22,764,-21.0,-21.0,-20.8,0.8955869907338783
23,915,-21.0,-21.0,-20.8,0.8911090557802088
24,882,-21.0,-21.0,-20.8,0.8866535105013078
25,974,-21.0,-21.0,-21.0,0.8822202429488013
26,909,-21.0,-21.0,-21.0,0.8778091417340573
27,1040,-19.0,-19.0,-20.6,0.8734200960253871
28,1041,-20.0,-20.0,-20.4,0.8690529955452602
29,961,-20.0,-20.0,-20.2,0.8647077305675338
30,853,-21.0,-21.0,-20.2,0.8603841919146962
31,853,-21.0,-21.0,-20.2,0.8560822709551227
32,1009,-20.0,-20.0,-20.4,0.851801859600347
33,1303,-18.0,-18.0,-20.0,0.8475428503023453
34,963,-21.0,-21.0,-20.2,0.8433051360508336
35,852,-21.0,-21.0,-20.2,0.8390886103705794
36,849,-21.0,-21.0,-20.2,0.8348931673187264
37,1099,-18.0,-18.0,-19.8,0.8307187014821328
38,929,-21.0,-21.0,-20.4,0.8265651079747222
39,1140,-20.0,-20.0,-20.2,0.8224322824348486
40,764,-21.0,-21.0,-20.2,0.8183201210226743
41,824,-21.0,-21.0,-20.2,0.8142285204175609
42,920,-20.0,-20.0,-20.6,0.810157377815473
43,886,-21.0,-21.0,-20.6,0.8061065909263957
44,764,-21.0,-21.0,-20.8,0.8020760579717637
45,1075,-19.0,-19.0,-20.4,0.798065677681905
46,764,-21.0,-21.0,-20.4,0.7940753492934954
47,764,-21.0,-21.0,-20.6,0.7901049725470279
48,764,-21.0,-21.0,-20.6,0.7861544476842928
49,970,-19.0,-19.0,-20.2,0.7822236754458713
50,989,-20.0,-20.0,-20.4,0.778312557068642
51,963,-20.0,-20.0,-20.2,0.7744209942832988
52,1157,-18.0,-18.0,-19.6,0.7705488893118823
53,964,-19.0,-19.0,-19.2,0.7666961448653229
54,1021,-20.0,-20.0,-19.4,0.7628626641409962
55,981,-20.0,-20.0,-19.4,0.7590483508202912
56,980,-21.0,-21.0,-19.6,0.7552531090661897
57,961,-19.0,-19.0,-19.8,0.7514768435208588
58,947,-20.0,-20.0,-20.0,0.7477194593032545
59,1121,-21.0,-21.0,-20.2,0.7439808620067382
60,948,-19.0,-19.0,-20.0,0.7402609576967045
