episode,steps,score,total_reward,avg_reward_last5,epsilon
1,928,-20.0,-20.0,-20.0,0.995
2,1133,-19.0,-19.0,-19.5,0.990025
3,764,-21.0,-21.0,-20.0,0.985074875
4,1078,-18.0,-18.0,-19.5,0.9801495006250001
5,1022,-19.0,-19.0,-19.4,0.9752487531218751
6,1024,-20.0,-20.0,-19.4,0.9703725093562657
7,783,-21.0,-21.0,-19.8,0.9655206468094844
8,1002,-21.0,-21.0,-19.8,0.960693043575437
9,993,-20.0,-20.0,-20.2,0.9558895783575597
10,824,-21.0,-21.0,-20.6,0.9511101304657719
11,912,-21.0,-21.0,-20.8,0.946354579813443
12,1003,-19.0,-19.0,-20.4,0.9416228069143757
13,964,-20.0,-20.0,-20.2,0.9369146928798039
14,1037,-20.0,-20.0,-20.2,0.9322301194154049
15,998,-21.0,-21.0,-20.2,0.9275689688183278
16,1026,-20.0,-20.0,-20.0,0.9229311239742362
17,852,-21.0,-21.0,-20.4,0.918316468354365
18,1065,-21.0,-21.0,-20.6,0.9137248860125932
19,1231,-17.0,-17.0,-20.0,0.9091562615825302
20,1224,-19.0,-19.0,-19.6,0.9046104802746175
21,942,-21.0,-21.0,-19.8,0.9000874278732445
22,1041,-20.0,-20.0,-19.6,0.8955869907338783
23,842,-20.0,-20.0,-19.4,0.8911090557802088
24,1045,-19.0,-19.0,-19.8,0.8866535105013078
25,848,-21.0,-21.0,-20.2,0.8822202429488013
26,926,-20.0,-20.0,-20.0,0.8778091417340573
27,1048,-20.0,-20.0,-20.0,0.8734200960253871
28,824,-21.0,-21.0,-20.2,0.8690529955452602
29,935,-21.0,-21.0,-20.6,0.8647077305675338
30,912,-21.0,-21.0,-20.6,0.8603841919146962
31,932,-21.0,-21.0,-20.8,0.8560822709551227
32,869,-21.0,-21.0,-21.0,0.851801859600347
33,873,-21.0,-21.0,-21.0,0.8475428503023453
34,1060,-19.0,-19.0,-20.6,0.8433051360508336
35,824,-21.0,-21.0,-20.6,0.8390886103705794
36,1009,-19.0,-19.0,-20.2,0.8348931673187264
37,1032,-18.0,-18.0,-19.6,0.8307187014821328
38,824,-21.0,-21.0,-19.6,0.8265651079747222
39,904,-20.0,-20.0,-19.8,0.8224322824348486
40,932,-21.0,-21.0,-19.8,0.8183201210226743
41,825,-21.0,-21.0,-20.2,0.8142285204175609
42,1020,-20.0,-20.0,-20.6,0.810157377815473
43,1087,-18.0,-18.0,-20.0,0.8061065909263957
44,880,-21.0,-21.0,-20.2,0.8020760579717637
45,812,-21.0,-21.0,-20.2,0.798065677681905
46,1064,-21.0,-21.0,-20.2,0.7940753492934954
47,852,-21.0,-21.0,-20.4,0.7901049725470279
48,919,-20.0,-20.0,-20.8,0.7861544476842928
49,912,-21.0,-21.0,-20.8,0.7822236754458713
50,902,-20.0,-20.0,-20.6,0.778312557068642
51,883,-20.0,-20.0,-20.4,0.7744209942832988
52,900,-21.0,-21.0,-20.4,0.7705488893118823
53,1023,-19.0,-19.0,-20.2,0.7666961448653229
54,889,-20.0,-20.0,-20.0,0.7628626641409962
55,1130,-19.0,-19.0,-19.8,0.7590483508202912
56,1081,-20.0,-20.0,-19.8,0.7552531090661897
57,1129,-19.0,-19.0,-19.4,0.7514768435208588
58,853,-21.0,-21.0,-19.8,0.7477194593032545
59,1094,-20.0,-20.0,-19.8,0.7439808620067382
60,764,-21.0,-21.0,-20.2,0.7402609576967045
